"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Vehicles/SportsCar/mat_5_002.mat_5_002","0","26","26","1","23.451256","0","26"
"/Game/Vehicles/SportsCar/mat_4_005.mat_4_005","0","26","26","1","0.000000","0","26"
"/Game/Vehicles/SportsCar/mat_4_002.mat_4_002","0","26","26","1","0.000000","0","26"
"/Game/Vehicles/SportsCar/mat_3_002.mat_3_002","0","26","26","1","0.000000","0","26"
"/Game/Vehicles/SportsCar/mat_11_002.mat_11_002","0","26","26","1","0.000000","0","26"
"/Game/Vehicles/SportsCar/mat_10_002.mat_10_002","0","26","26","1","0.000000","0","26"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","4","4","1","3.845987","0","4"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","35","35","1","63.780235","0","35"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","29","31","1","56.224060","0","31"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","22","22","1","43.736401","0","22"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","0","23","23","1","44.364719","0","23"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","0","23","23","1","46.170959","0","23"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","0","23","23","1","44.295742","0","23"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","0","23","23","1","47.153610","0","23"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","0","23","23","1","50.977768","0","23"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","0","23","23","1","48.490063","0","23"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","0","23","23","1","40.468433","0","23"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","23","23","1","42.201111","0","23"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","35","35","1","63.380066","0","35"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","0","23","23","1","42.704952","0","23"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","0","23","23","1","48.295582","0","23"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","23","23","1","39.491253","0","23"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","23","23","1","39.684517","0","23"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","0","23","23","1","48.792965","0","23"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","0","23","23","1","48.914474","0","23"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","0","23","23","1","55.294598","0","23"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","45","45","1","65.509338","0","45"
"/Game/Tracks/mapa_02/props/Textura_Caja_Mat.Textura_Caja_Mat","0","14","14","1","29.508121","0","14"
"/Game/Tracks/mapa_02/props/Rampa_Textura_Mat.Rampa_Textura_Mat","0","14","14","1","0.000000","0","14"
"/Game/Tracks/mapa_02/props/Palos_02_Mat.Palos_02_Mat","0","14","14","1","0.000000","0","14"
"/Game/Tracks/mapa_02/props/Meta_01_Mat.Meta_01_Mat","0","17","18","1","34.178688","0","18"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","0","23","23","1","51.130913","0","23"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","23","23","1","48.233673","0","23"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","11","11","1","16.559803","0","11"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","11","11","1","16.335810","0","11"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","0","74","74","1","123.027786","0","74"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","0","23","23","1","49.487057","0","23"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","0","23","23","1","50.570145","0","23"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","0","23","23","1","44.965672","0","23"
"/Water/Materials/Brushes/MeshBrush_Width.MeshBrush_Width","0","4","4","1","6.916558","0","4"
"/Water/Materials/Brushes/MeshBrush_Weightmap.MeshBrush_Weightmap","0","4","4","1","7.149092","0","4"
"/Water/Materials/Brushes/MeshBrush_Island.MeshBrush_Island","0","4","4","1","9.311116","0","4"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","67","67","1","142.903854","0","67"
"/Game/Vehicles/test_car/mat_5_001.mat_5_001","0","50","50","1","485.406982","0","50"
"/Game/Vehicles/test_car/mat_4_004.mat_4_004","0","26","26","1","0.000000","0","26"
"/Game/Vehicles/test_car/mat_4_001.mat_4_001","0","50","50","1","0.000000","0","50"
"/Game/Vehicles/test_car/mat_3_001.mat_3_001","0","50","50","1","0.000000","0","50"
"/Game/Vehicles/test_car/mat_11_001.mat_11_001","0","50","50","1","0.000000","0","50"
"/Game/Vehicles/test_car/mat_10_001.mat_10_001","0","50","50","1","0.000000","0","50"
"/Game/StarterContent/Props/Materials/M_Rock.M_Rock","0","23","23","1","50.435188","0","23"
"/Game/StarterContent/Materials/M_Water_Ocean.M_Water_Ocean","0","23","23","1","50.015648","0","23"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","0","23","23","1","45.189682","0","23"
"/Game/StarterContent/Materials/M_Metal_Rust.M_Metal_Rust","0","23","23","1","46.661045","0","23"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","14","14","1","16.925049","0","14"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","14","14","1","0.000000","0","14"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","0","23","23","1","45.459164","0","23"
"/Water/Materials/Brushes/MeshBrush_Angle.MeshBrush_Angle","0","4","4","1","6.909829","0","4"
