"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5337","0","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","3.745001","0","5"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","2.014232","0","5"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","7","1","5.567053","0","7"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","3.512886","0","4"
"/Game/Vehicles/test_car/obje/bluecornet1_mat_4_004.bluecornet1_mat_4_004","0","14","14","1","25.145054","0","14"
"/Game/Vehicles/test_car/obje/bluecornet1_mat_4_001.bluecornet1_mat_4_001","0","14","14","1","3.243264","0","14"
"/Game/Vehicles/test_car/obje/bluecornet1_mat_3_001.bluecornet1_mat_3_001","0","14","14","1","0.000000","0","14"
"/Game/Vehicles/test_car/obje/bluecornet1_mat_11_001.bluecornet1_mat_11_001","0","14","14","1","0.000000","0","14"
"/Game/Vehicles/test_car/obje/bluecornet1_mat_10_001.bluecornet1_mat_10_001","0","14","14","1","0.000000","0","14"
"/Game/Vehicles/SportsCar/mat_5_002.mat_5_002","0","26","26","1","34.608631","0","26"
"/Game/Vehicles/SportsCar/mat_4_005.mat_4_005","0","26","26","1","0.000000","0","26"
"/Game/Vehicles/SportsCar/mat_4_002.mat_4_002","0","26","26","1","0.000000","0","26"
"/Game/Vehicles/SportsCar/mat_3_002.mat_3_002","0","26","26","1","0.000000","0","26"
"/Game/Vehicles/SportsCar/mat_11_002.mat_11_002","0","26","26","1","0.000000","0","26"
"/Game/Vehicles/SportsCar/mat_10_002.mat_10_002","0","26","26","1","0.000000","0","26"
"/Game/Tracks/Prueba_mapa2/Material_002.Material_002","0","14","14","1","0.000000","0","14"
"/Game/Tracks/Prueba_mapa2/Material_001.Material_001","0","14","14","1","0.000000","0","14"
